[2025-07-01T17:10:15.356852Z INFO  snaptui] Application starting up...
[2025-07-01T17:10:15.361261Z INFO  snaptui] Spawning websocket task.
[2025-07-01T17:10:15.363157Z DEBUG tungstenite::handshake::client] Client handshake done.
[2025-07-01T17:10:15.363274Z INFO  snaptui] Starting application run loop.
[2025-07-01T17:10:15.369003Z DEBUG snaptui::app] Received WebSocket message: {"id":"56224377-252c-4e1f-9a62-b0a6a1d35eae","jsonrpc":"2.0","result":{"server":{"groups":[{"clients":[{"config":{"instance":1,"latency":0,"name":"salon","volume":{"muted":false,"percent":100}},"connected":true,"host":{"arch":"arm64","ip":"127.0.0.1","mac":"aa:3d:55:cd:da:4f","name":"Thibaults-MacBook-Pro.local","os":"Darwin"},"id":"salon","lastSeen":{"sec":1751389814,"usec":876167},"snapclient":{"name":"Snapclient","protocolVersion":2,"version":"0.31.0"}}],"id":"960ca0e6-94a6-d42c-661e-5b108f50000c","muted":false,"name":"salon","stream_id":"salon"},{"clients":[{"config":{"instance":1,"latency":0,"name":"chambre","volume":{"muted":false,"percent":1}},"connected":true,"host":{"arch":"arm64","ip":"127.0.0.1","mac":"aa:3d:55:cd:da:4f","name":"Thibaults-MacBook-Pro.local","os":"Darwin"},"id":"chambre","lastSeen":{"sec":1751389815,"usec":326612},"snapclient":{"name":"Snapclient","protocolVersion":2,"version":"0.31.0"}}],"id":"bcf7adda-f49d-4d0d-b29b-22bbc16388ef","muted":false,"name":"chambre","stream_id":"chambre"}],"server":{"host":{"arch":"arm64","ip":"","mac":"","name":"Thibaults-MacBook-Pro.local","os":"Darwin"},"snapserver":{"controlProtocolVersion":1,"name":"Snapserver","protocolVersion":1,"version":"0.31.0"}},"streams":[{"id":"salon","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/salon/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"salon","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/salon/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=salon&sampleformat=44100:16:2","scheme":"pipe"}},{"id":"chambre","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/chambre/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"chambre","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/chambre/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=chambre&sampleformat=44100:16:2","scheme":"pipe"}},{"id":"cuisine","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/cuisine/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"cuisine","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/cuisine/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=cuisine&sampleformat=44100:16:2","scheme":"pipe"}},{"id":"salon+chambre","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/salon+chambre/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"salon+chambre","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/salon+chambre/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=salon+chambre&sampleformat=44100:16:2","scheme":"pipe"}}]}}}
[2025-07-01T17:10:33.997146Z DEBUG snaptui::app] Received WebSocket message: {"id":"b3be619d-1c7a-4c5a-803b-c9866fcc1d4e","jsonrpc":"2.0","result":{"volume":{"muted":false,"percent":100}}}
[2025-07-01T17:10:34.009745Z DEBUG snaptui::app] Received WebSocket message: {"id":"969a55af-c79c-47f3-8de7-b2fe4d3e31c9","jsonrpc":"2.0","result":{"server":{"groups":[{"clients":[{"config":{"instance":1,"latency":0,"name":"salon","volume":{"muted":false,"percent":100}},"connected":true,"host":{"arch":"arm64","ip":"127.0.0.1","mac":"aa:3d:55:cd:da:4f","name":"Thibaults-MacBook-Pro.local","os":"Darwin"},"id":"salon","lastSeen":{"sec":1751389833,"usec":904415},"snapclient":{"name":"Snapclient","protocolVersion":2,"version":"0.31.0"}}],"id":"960ca0e6-94a6-d42c-661e-5b108f50000c","muted":false,"name":"salon","stream_id":"salon"},{"clients":[{"config":{"instance":1,"latency":0,"name":"chambre","volume":{"muted":false,"percent":100}},"connected":true,"host":{"arch":"arm64","ip":"127.0.0.1","mac":"aa:3d:55:cd:da:4f","name":"Thibaults-MacBook-Pro.local","os":"Darwin"},"id":"chambre","lastSeen":{"sec":1751389833,"usec":353055},"snapclient":{"name":"Snapclient","protocolVersion":2,"version":"0.31.0"}}],"id":"bcf7adda-f49d-4d0d-b29b-22bbc16388ef","muted":false,"name":"chambre","stream_id":"chambre"}],"server":{"host":{"arch":"arm64","ip":"","mac":"","name":"Thibaults-MacBook-Pro.local","os":"Darwin"},"snapserver":{"controlProtocolVersion":1,"name":"Snapserver","protocolVersion":1,"version":"0.31.0"}},"streams":[{"id":"salon","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/salon/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"salon","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/salon/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=salon&sampleformat=44100:16:2","scheme":"pipe"}},{"id":"chambre","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/chambre/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"chambre","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/chambre/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=chambre&sampleformat=44100:16:2","scheme":"pipe"}},{"id":"cuisine","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/cuisine/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"cuisine","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/cuisine/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=cuisine&sampleformat=44100:16:2","scheme":"pipe"}},{"id":"salon+chambre","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/salon+chambre/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"salon+chambre","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/salon+chambre/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=salon+chambre&sampleformat=44100:16:2","scheme":"pipe"}}]}}}
[2025-07-01T17:11:00.762746Z DEBUG snaptui::app] Received WebSocket message: {"id":"d8136d36-5dd5-4b49-86c5-38c5fcc1178b","jsonrpc":"2.0","result":{"volume":{"muted":true,"percent":100}}}
[2025-07-01T17:11:00.775609Z DEBUG snaptui::app] Received WebSocket message: {"id":"faaf4529-04b5-4aad-8691-17bc0a97e8ee","jsonrpc":"2.0","result":{"server":{"groups":[{"clients":[{"config":{"instance":1,"latency":0,"name":"salon","volume":{"muted":false,"percent":100}},"connected":true,"host":{"arch":"arm64","ip":"127.0.0.1","mac":"aa:3d:55:cd:da:4f","name":"Thibaults-MacBook-Pro.local","os":"Darwin"},"id":"salon","lastSeen":{"sec":1751389859,"usec":943427},"snapclient":{"name":"Snapclient","protocolVersion":2,"version":"0.31.0"}}],"id":"960ca0e6-94a6-d42c-661e-5b108f50000c","muted":false,"name":"salon","stream_id":"salon"},{"clients":[{"config":{"instance":1,"latency":0,"name":"chambre","volume":{"muted":true,"percent":100}},"connected":true,"host":{"arch":"arm64","ip":"127.0.0.1","mac":"aa:3d:55:cd:da:4f","name":"Thibaults-MacBook-Pro.local","os":"Darwin"},"id":"chambre","lastSeen":{"sec":1751389860,"usec":388525},"snapclient":{"name":"Snapclient","protocolVersion":2,"version":"0.31.0"}}],"id":"bcf7adda-f49d-4d0d-b29b-22bbc16388ef","muted":false,"name":"chambre","stream_id":"chambre"}],"server":{"host":{"arch":"arm64","ip":"","mac":"","name":"Thibaults-MacBook-Pro.local","os":"Darwin"},"snapserver":{"controlProtocolVersion":1,"name":"Snapserver","protocolVersion":1,"version":"0.31.0"}},"streams":[{"id":"salon","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/salon/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"salon","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/salon/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=salon&sampleformat=44100:16:2","scheme":"pipe"}},{"id":"chambre","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/chambre/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"chambre","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/chambre/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=chambre&sampleformat=44100:16:2","scheme":"pipe"}},{"id":"cuisine","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/cuisine/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"cuisine","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/cuisine/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=cuisine&sampleformat=44100:16:2","scheme":"pipe"}},{"id":"salon+chambre","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/salon+chambre/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"salon+chambre","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/salon+chambre/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=salon+chambre&sampleformat=44100:16:2","scheme":"pipe"}}]}}}
[2025-07-01T17:11:01.830543Z DEBUG snaptui::app] Received WebSocket message: {"id":"24a9da77-51cf-4521-bb43-8c905845b265","jsonrpc":"2.0","result":{"volume":{"muted":false,"percent":100}}}
[2025-07-01T17:11:01.843767Z DEBUG snaptui::app] Received WebSocket message: {"id":"17554c9f-122a-4d0f-b168-00b98385333b","jsonrpc":"2.0","result":{"server":{"groups":[{"clients":[{"config":{"instance":1,"latency":0,"name":"salon","volume":{"muted":false,"percent":100}},"connected":true,"host":{"arch":"arm64","ip":"127.0.0.1","mac":"aa:3d:55:cd:da:4f","name":"Thibaults-MacBook-Pro.local","os":"Darwin"},"id":"salon","lastSeen":{"sec":1751389860,"usec":944449},"snapclient":{"name":"Snapclient","protocolVersion":2,"version":"0.31.0"}}],"id":"960ca0e6-94a6-d42c-661e-5b108f50000c","muted":false,"name":"salon","stream_id":"salon"},{"clients":[{"config":{"instance":1,"latency":0,"name":"chambre","volume":{"muted":false,"percent":100}},"connected":true,"host":{"arch":"arm64","ip":"127.0.0.1","mac":"aa:3d:55:cd:da:4f","name":"Thibaults-MacBook-Pro.local","os":"Darwin"},"id":"chambre","lastSeen":{"sec":1751389861,"usec":390040},"snapclient":{"name":"Snapclient","protocolVersion":2,"version":"0.31.0"}}],"id":"bcf7adda-f49d-4d0d-b29b-22bbc16388ef","muted":false,"name":"chambre","stream_id":"chambre"}],"server":{"host":{"arch":"arm64","ip":"","mac":"","name":"Thibaults-MacBook-Pro.local","os":"Darwin"},"snapserver":{"controlProtocolVersion":1,"name":"Snapserver","protocolVersion":1,"version":"0.31.0"}},"streams":[{"id":"salon","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/salon/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"salon","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/salon/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=salon&sampleformat=44100:16:2","scheme":"pipe"}},{"id":"chambre","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/chambre/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"chambre","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/chambre/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=chambre&sampleformat=44100:16:2","scheme":"pipe"}},{"id":"cuisine","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/cuisine/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"cuisine","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/cuisine/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=cuisine&sampleformat=44100:16:2","scheme":"pipe"}},{"id":"salon+chambre","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/salon+chambre/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"salon+chambre","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/salon+chambre/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=salon+chambre&sampleformat=44100:16:2","scheme":"pipe"}}]}}}
[2025-07-01T17:11:16.102732Z DEBUG snaptui::app] Received WebSocket message: {"id":"12d4772c-275f-42c7-99c8-4df98843f85c","jsonrpc":"2.0","result":{"latency":2}}
[2025-07-01T17:11:16.116217Z DEBUG snaptui::app] Received WebSocket message: {"id":"c0017cf0-26df-400d-aa71-9b84133a10b2","jsonrpc":"2.0","result":{"server":{"groups":[{"clients":[{"config":{"instance":1,"latency":0,"name":"salon","volume":{"muted":false,"percent":100}},"connected":true,"host":{"arch":"arm64","ip":"127.0.0.1","mac":"aa:3d:55:cd:da:4f","name":"Thibaults-MacBook-Pro.local","os":"Darwin"},"id":"salon","lastSeen":{"sec":1751389875,"usec":968737},"snapclient":{"name":"Snapclient","protocolVersion":2,"version":"0.31.0"}}],"id":"960ca0e6-94a6-d42c-661e-5b108f50000c","muted":false,"name":"salon","stream_id":"salon"},{"clients":[{"config":{"instance":1,"latency":2,"name":"chambre","volume":{"muted":false,"percent":100}},"connected":true,"host":{"arch":"arm64","ip":"127.0.0.1","mac":"aa:3d:55:cd:da:4f","name":"Thibaults-MacBook-Pro.local","os":"Darwin"},"id":"chambre","lastSeen":{"sec":1751389875,"usec":409761},"snapclient":{"name":"Snapclient","protocolVersion":2,"version":"0.31.0"}}],"id":"bcf7adda-f49d-4d0d-b29b-22bbc16388ef","muted":false,"name":"chambre","stream_id":"chambre"}],"server":{"host":{"arch":"arm64","ip":"","mac":"","name":"Thibaults-MacBook-Pro.local","os":"Darwin"},"snapserver":{"controlProtocolVersion":1,"name":"Snapserver","protocolVersion":1,"version":"0.31.0"}},"streams":[{"id":"salon","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/salon/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"salon","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/salon/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=salon&sampleformat=44100:16:2","scheme":"pipe"}},{"id":"chambre","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/chambre/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"chambre","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/chambre/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=chambre&sampleformat=44100:16:2","scheme":"pipe"}},{"id":"cuisine","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/cuisine/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"cuisine","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/cuisine/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=cuisine&sampleformat=44100:16:2","scheme":"pipe"}},{"id":"salon+chambre","properties":{"canControl":false,"canGoNext":false,"canGoPrevious":false,"canPause":false,"canPlay":false,"canSeek":false},"status":"idle","uri":{"fragment":"","host":"","path":"/tmp/fifo/librespot/salon+chambre/spotify.fifo","query":{"chunk_ms":"20","codec":"pcm","mode":"read","name":"salon+chambre","sampleformat":"44100:16:2"},"raw":"pipe:///tmp/fifo/librespot/salon+chambre/spotify.fifo?chunk_ms=20&codec=pcm&mode=read&name=salon+chambre&sampleformat=44100:16:2","scheme":"pipe"}}]}}}
